rank,lemma,gloss,kind,ref_count,ref_coverage
157,τοίνυν,"therefore, accordingly",,349,67.57
158,πάρειμι,be present,L,341,67.64
159,αἴρω,"to take up, raise, lift up",L,339,67.71
160,ὅπως,"how, that, in order that, as",F,336,67.78
161,ἀρχή,"a beginning, rule, office, empire",L,336,67.85
162,πιστεύω,"to trust, trust to",L,333,67.93
163,ἦ,"in truth, truly, verily, of a surety",,332,68
164,εὑρίσκω,to find,L,328,68.07
165,πάσχω,"to experience, to suffer",L,324,68.14
166,σύν,"along with, in company with, together with",,320,68.2
167,οὐκοῦν,"therefore, then, accordingly",,318,68.27
168,οὔκουν,"not therefore, so not",,317,68.34
169,καθίστημι,"to set down, place",L,316,68.41
170,δόξα,a notion,L,315,68.47
171,τοσοῦτος,"so large, so tall",,314,68.54
172,δύναμις,"power, might, strength",,312,68.61
173,ζήω,to live (LSJ ζῶ),L,312,68.67
174,κελεύω,to urge,L,308,68.74
175,πάλιν,"back, backwards",F,307,68.81
176,χρή,"it is fated, necessary",L,306,68.87
177,πλείων,"more, larger",,305,68.94
178,φέρω,to bear,L,303,69
179,ἄξιος,worthy,,303,69.07
180,ἀπόλλυμι,"to destroy, kill; to lose",L,302,69.13
181,ἀφίημι,"to send forth, discharge",L,301,69.19
182,οὗ2,"him, her (οὗ οἷ ἕ)",,300,69.26
183,ἔοικα,to be like; to look like,,299,69.32
184,τίθημι,"to set, put, place",L,298,69.39
185,πάνυ,"altogether, entirely",,297,69.45
186,λαλέω,"to talk, chat, prattle, babble",L,295,69.51
187,αὖ,"again, anew, afresh, once more",,290,69.57
188,μήτε,neither / nor,,286,69.63
189,μένω,"to stay at home, stay where one is, not stir",L,285,69.69
190,χρῆμα,"thing, (pl.) goods, property, money",L,284,69.76
191,ἴδιος,"one's own, pertaining to oneself",,283,69.82
192,πρᾶγμα,"that which has been done, a deed, act",L,282,69.88
193,οὗ,where,,282,69.94
194,οὐρανός,heaven,,282,70
195,σῴζω,"to save, keep",L,279,70.06
196,ἕνεκα,"on account of, for the sake of, because of, for",,278,70.12
197,εὖ,well,,275,70.17
198,ποτε,"ever, sometime",F,274,70.23
199,ἀφικνέομαι,to come to,L,273,70.29
200,πίστις,"trust, belief; pledge, security",L,273,70.35
201,ἱκανός,"becoming, befitting, sufficing",,272,70.41
202,ὅμοιος,"like, resembling",,271,70.46
203,πόλεμος,"battle, fight, war",L,268,70.52
204,ἐξέρχομαι,"to go out, come out",L,267,70.58
205,χράω2,"proclaim an oracle, (rare) furnish; mid.: consult an oracle, lend",L,266,70.64
206,ὀλίγος,"few, little, scanty, small",L,265,70.69
207,που,"anywhere, somewhere",F,262,70.75
208,μέντοι,"however, nevertheless; of course (answers)",,262,70.8
209,χείρ,the hand,L,261,70.86
210,δεινός,"fearful, terrible, dread, dire",L,261,70.92
211,διό,"wherefore, on which account",,261,70.97
